'건 셋트', 'gun set'
'건 숍', 'gun shop'
'건 앤드 런', 'gun and run'
'건 점핑', 'gun jumping'
'건 타입 버너', 'gun type burner'
'건 태클', 'gun tackle'
'건 패치', 'gun patch'
'건 플랩', 'gun flap'
'건 피니시', 'gun finish'
'건너', 'gunner'
'건맨', 'gunman'
'건메탈', 'gunmetal'
'건보트 보일러', 'gunboat boiler'
'건십', 'gunship'
'건 클럽 체크', 'gun club check'
'걸 그룹', 'girl group'
'걸 크러쉬', 'girl crush'
'걸 크러시', 'girl crush'
'걸로시 파스닝', 'galosh fastening'
'걸리시 룩', 'girlish look'
'걸리시 마케팅', 'girlish marketing'
'걸스 사이즈', 'girls size'
'걸프', 'gulp'
'검 로진', 'gum rosin'
'검 웨이스트', 'gum waste'
'검드 테이프', 'gummed tape'
'것 렌치 수플렉스', 'gut wrench suplex'
'것 렌치 파워 밤', 'gut wrench power bomb'
'것 체크', 'gut check'
'게놈 라이브러리', 'genome library'
'게니스테인', 'genistein'
'게니포시드', 'geniposide'
'게닌', 'genin'
'게레눅', 'gerenuk'
'게로미르톨', 'gelomyrtol'
'게론틴', 'gerontin'
'게르', 'ger'
'게르만', 'germane'
'게리맨더링', 'gerrymandering'
'게마조신', 'gemazocine'
'게메프로스트', 'gemeprost'
'게스 히터', 'guess hitter'
'게스타겐', 'gestagen'
'게스탑', 'gestapft'
'게스토겐', 'gestogen'
'게스트', 'guest'
'게스트 레저', 'guest ledger'
'게스트 리엔지니어링', 'guest reengineering'
'게스트 아이디', 'guest ID'
'게스트 엔지니어링', 'guest engineering'
'게스트 오큐펀시', 'guest occupancy'
'게스트 차지', 'guest charge'
'게스트 하우스', 'guest house'
'게이', 'gay'
'게이 바', 'gay bar'
'게이 셔츠', 'gay shirt'
'게이 아트', 'gay art'
'게이 컬러', 'gay color'
'게이머', 'gamer'
'게이미피케이션', 'gamification'
'게이밍', 'gaming'
'게이밍 마우스', 'gaming mouse'
'게이밍 보드', 'gaming board'
'게이밍 시뮬레이션', 'gaming simulation'
'게이밍 퍼스', 'gaming purse'
'게이블', 'gable'
'게이블 보닛', 'gable bonnet'
'게이블 해트', 'gable hat'
'게이블 헤드드레스', 'gable headdress'
'게이블 후드', 'gable hood'
'게이소스페르민', 'geissosprmine'
'게이지', 'gauge'
'게이지 글라스', 'gauge glass'
'게이지 로드', 'gauge rod'
'게이지 보손', 'gauge boson'
'게이지 보존', 'gauge boson'
'게이지 블록', 'gauge block'
'게이지 스트럿', 'gauge strut'
'게이지 콕', 'gauge cock'
'게이지 타이', 'gauge tie'
'게이지 타이 로드', 'gauge tie rod'
'게이지 퍼텐셜', 'gauge potential'
'게이지 플레이트', 'gauge plate'
'게이지 피스', 'gauge piece'
'게이지노', 'gaugino'
'게이징', 'gauging'
'게이징 스레드', 'gaging thread'
'게이터', 'gaiter'
'게이터 트라우저즈', 'gaiter trousers'
'게이터 판탈룬즈', 'gaiter pantaloons'
'게이트', 'gate'
'게이트 그루브', 'gate groove'
'게이트 래치', 'gate latch'
'게이트 레벨 시뮬레이터', 'gate level simulator'
'게이트 밸브', 'gate valve'
'게이트 스위프', 'gate sweep'
'게이트 앨리', 'gate alley'
'게이트 어레이', 'gate array'
'게이트 클락', 'gate clock'
'게이트 키퍼', 'gate keeper'
'게이트 키핑', 'gate keeping'
'게이트 타임', 'gate time'
'게이트 펄스', 'gate pulse'
'게이트 볼', 'gate ball'
'게이트 웨이', 'gate way'
'게이트웨이 노드', 'gateway node'
'게이트웨이 스크립트', 'gateway script'
'게이트폴드', 'gatefold'
'게이팅', 'gating'
'게인', 'gain'
'게인 비포어 피드백', 'gain before feedback'
'게인 스테이지', 'gain stage'
'게인 스테이징', 'gain staging'
'게인 콘트롤', 'gain control'
'게인 필터', 'gain filter'
'게일릭 풋볼', 'gaelic football'
'게임', 'game'
'게임 그래픽 디자이너', 'game graphic designer'
'게임 노트북', 'game notebook'
'게임 디자이너', 'game designer'
'게임 로봇', 'game robot'
'게임 룸', 'game room'
'게임 마케팅', 'game marketing'
'게임 매니저', 'game manager'
'게임 머니', 'game money'
'게임 머신', 'game machine'
'게임 사이트', 'game site'
'게임 세트', 'game set'
'게임 소프트웨어', 'game software'
'게임 스트리밍', 'game streamimg'
'게임 시나리오', 'game scenario'
'게임 시뮬레이션', 'game simulation'
'게임 신디케이션', 'game syndication'
'게임 아웃', 'game out'
'게임 아이템', 'game item'
'게임 앤드 피싱 파카', 'game and fishing parka'
'게임 엔진', 'game engine'
'게임 오디오 디자이너', 'game audio designer'
'게임 오버', 'game over'
'게임 올', 'game all'
'게임 위닝 아르비아이', 'game winning RBI'
'게임 지니', 'game genie'
'게임 채널', 'game channel'
'게임 체인저', 'game changer'
'게임 칩', 'game chip'
'게임 카드', 'game card'
'게임 캐스터', 'game caster'
'게임 컨트롤 어댑터', 'game control adaptor'
'게임 콘서트', 'game concert'
'게임 콘텐츠', 'game contents'
'게임 크랙', 'game crack'
'게임 클락', 'game clock'
'게임 텍스트', 'game text'
'게임 트레이닝', 'game training'
'게임 트리', 'game tree'
'게임 포인트', 'game point'
'게임 포트', 'game port'
'게임 폰', 'game phone'
'게임 메이커', 'game maker'
'게임스맨십', 'gamesmanship'
'게임즈맨', 'gamesman'
'게임 팩', 'game pack'
'게코', 'gecko'
'게터', 'getter'
'게터 펌프', 'getter pump'
'게터링', 'gettering'
'게토', 'ghetto'
'게토 드롭', 'ghetto drop'
'게트 인 캐릭터', 'get in character'
'게팅 콜드', 'getting called'
'게파르나트', 'gefarnate'
'게파메이트', 'gefamate'
'게피론', 'gepirone'
'겐타마이신', 'gentamycin'
'겐티아닌', 'gentianine'
'겐티안 바이올렛', 'gentian violet'
'겐티오비오스', 'gentiobiose'
'겔', 'gele'
'겔호른 페사리', 'Gellhorn pessary'
'겜브로솔', 'gambrosol'
'겜브로솔 트리오', 'gambrosol trio'
'겜스복', 'gemsbok'
'겜티즌', 'gamtizen'
'겜피브로질', 'gemfibrozil'
'겟 투', 'get two'
'겟 투', 'get two'
'고 더 디스턴스', 'go the distance'
'고 더 루트', 'go the route'
'고 모션', 'go motion'
'고 비하인드', 'go behind'
'고 어헤드', 'go ahead'
'고 투 가이', 'go to guy'
'고 투 더 홀', 'go to the hole'
'고 투 블랙', 'go to black'
'고 투 스쿨', 'go to school'
'고 투 슬립', 'go to sleep'
'고 고', 'go go'
'고 고 부츠', 'go go boots'
'고 고 워치', 'go go watch'
'고 고 워치밴드', 'go go watchband'
'고 고 펀드', 'go go fund'
'고글', 'goggles'
'고나도레린', 'gonadorelin'
'고나도렐린', 'gonadorelin'
'고나도트로핀', 'gonadotropin'
'고나딘', 'gonadin'
'고노메리', 'gonomery'
'고노토콘트', 'gonotocont'
'고노포디움', 'gonopodium'
'고니오미터', 'goniometer'
'고니오미터 안테나', 'goniometer antenna'
'고니오톡신', 'gonyautoxin'
'고니오포토미터', 'goniophotometer'
'고데', 'godet'
'고데 스커트', 'godet skirt'
'고데 플리츠', 'godet pleats'
'고데티아', 'godetia'
'고드 버스터', 'gourd buster'
'고드 타이', 'gord tie'
'고디스 슬리브', 'goddess sleeve'
'고디언 노트 스티치', 'gordian knot stitch'
'고리 봄', 'gory bomb'
'고리 스페셜', 'gory special'
'고릴라', 'gorilla'
'고릴라 프레스', 'gorila press'
'고릴라 프레스 드랍', 'gorilla press drop'
'고릴라 프레스 드롭', 'gorilla press drop'
'고릴라 프레스 슬램', 'gorila press slam'
'고미신', 'gomisin'
'고보', 'gobo'
'고브 해트', 'gob hat'
'고블', 'gobble'
'고블릿 스쾃', 'goblet squat'
'고블릿 스쿼트', 'goblet squat'
'고블릿 칼라', 'goblet collar'
'고서머', 'gossamer'
'고세나이트', 'goshenite'
'고세렐린', 'goserelin'
'고스 룩', 'goth look'
'고 스톱', 'go stop'
'고스트', 'ghost'
'고스트 글라이드', 'ghost glide'
'고스트 에이커', 'ghost acre'
'고스트 이미지', 'ghost image'
'고스트 펄스', 'ghost pulse'
'고스플랜', 'Gosplan'
'고시폴', 'gossypol'
'고십', 'GOSIP'
'고어', 'gore'
'고어 부츠', 'gore boots'
'고어드 스커트', 'gored skirt'
'고위트린', 'goitrin'
'고이터', 'goiter'
'고잉 프라이빗', 'going private'
'고저스 메이크업', 'gorgeous makeup'
'고지', 'gorge'
'고지 다트', 'gorge dart'
'고지 라인', 'gorge line'
'고지트', 'gorget'
'고카트', 'gocart'
'고 코드', 'go code'
'고트', 'GOAT'
'고티 비어드', 'goatee beard'
'고티푸아스', 'Gotipuas'
'고퍼', 'gopher'
'고퍼 서버', 'gopher server'
'고퍼 클라이언트', 'gopher client'
'고퍼링', 'goffering'
'고프코어 룩', 'gorpcore look'
'곤', 'gone'
'곤도리어 셔츠', 'gondolier shirt'
'곤틀레트 커프스', 'gauntlet cuffs'
'곤틀릿', 'gauntlet'
'골', 'goal'
'골 게터', 'goal getter'
'골 라이트', 'goal light'
'골 레퍼리', 'goal referee'
'골 세레모니', 'goal ceremony'
'골 세리머니', 'goal ceremony'
'골 슛', 'goal shoot'
'골 스로', 'goal throw'
'골 스택', 'goal stack'
'골 에어리어', 'goal area'
'골 저지', 'goal judge'
'골 코트', 'goal coat'
'골 크리스', 'goal crease'
'골 크리스 오프사이드', 'goal crease offside'
'골 키핑', 'goal keeping'
'골 텐딩', 'goal tending'
'골 폴', 'goal pole'
'골 네트', 'goal net'
'골드 나노파티클', 'gold nanoparticle'
'골드 넘버', 'gold number'
'골드 다운 마크', 'gold down mark'
'골드 디거', 'gold digger'
'골드 디스크', 'gold disc'
'골드 맘', 'gold mom'
'골드 미스', 'gold Miss'
'골드 미스터', 'gold mister'
'골드 미시', 'gold missy'
'골드 뱅킹', 'gold banking'
'골드 사이즈', 'gold size'
'골드 스탠더드', 'gold standard'
'골드 악센트', 'gold accent'
'골드 앨범', 'gold album'
'골드 컵', 'gold cup'
'골드 코드', 'gold code'
'골드 키드', 'gold kid'
'골드 키즈', 'gold kids'
'골드 티슈', 'gold tissue'
'골드 파파', 'gold papa'
'골드 펀드', 'gold fund'
'골드 호즈', 'gold hose'
'골드 러시', 'gold rush'
'골드 바', 'gold bar'
'골드 브라운', 'gold brown'
'골드스미스 노트', 'goldsmith note'
'골드 칼라', 'gold collar'
'골드 클로라이드', 'gold chloride'
'골드 키위', 'gold kiwi'
'골든 골', 'golden goal'
'골든 글러브', 'golden glove'
'골든 디스크', 'golden disk'
'골든 라인', 'golden line'
'골든 머스크랫', 'golden muskrat'
'골든 백 포인트', 'golden back point'
'골든 슈', 'golden shoe'
'골든 시드', 'golden seed'
'골든 시드 프로젝트', 'golden seed project'
'골든 에이지', 'golden age'
'골든 웨이브', 'golden wave'
'골든 위크', 'golden week'
'골든 크로스', 'golden cross'
'골든 타임', 'golden time'
'골든 파라슈트', 'golden parachute'
'골든 팝', 'golden pop'
'골든 포인트', 'golden point'
'골든 실', 'golden seal'
'골든 아워', 'golden hour'
'골든 칼라', 'golden collar'
'골디락스', 'goldilocks'
'골 라인', 'goal line'
'골 라인 아웃', 'goal line out'
'골리곤', 'golygon'
'골 바', 'goal bar'
'골볼', 'goalball'
'골 인', 'goal in'
'골키퍼', 'goalkeeper'
'골키퍼 드로우', 'goalkeeper throw'
'골키퍼 스로', 'goalkeeper throw'
'골 킥', 'goal kick'
'골패', 'golpe'
'골퍼', 'golfer'
'골 포스트', 'goal post'
'골프', 'golf'
'골프 룩', 'golf look'
'골프 리조트', 'golf resort'
'골프 백', 'golf bag'
'골프 베스트', 'golf vest'
'골프 셔츠', 'golf shirt'
'골프 슈즈', 'golf shoes'
'골프 스니커', 'golf sneaker'
'골프 스윙', 'golf swing'
'골프 스커트', 'golf skirt'
'골프 아웃피츠', 'golf outfits'
'골프 웨어', 'golf wear'
'골프 재킷', 'golf jacket'
'골프 카트', 'golf cart'
'골프 컨디셔닝', 'golf conditioning'
'골프 코스', 'golf course'
'골프 클럽', 'golf club'
'골프 팀', 'golf team'
'골프 팬', 'golf fan'
'골프 팬츠', 'golf pants'
'곱스', 'GOPS'
'공', 'gong'
'공 심볼', 'gong cymbal'
'공길리디아', 'gongylidia'
'과나키토', 'guanaquito'
'과라나', 'guarana'
'과율', 'guayule'
'과이어베라 셔츠', 'guayabera shirt'
'과이어세틴', 'guaiacetin'
'과이어콜', 'guaiacol'
'과이어폼', 'guaiaform'
'구골', 'googol'
'구골플렉스', 'googolplex'
'구라미', 'gourami'
'구루빙', 'grooving'
'구스', 'GOOSE'
'구스 아스팔트', 'guss asphalt'
'구스 에그', 'goose egg'
'구스넥', 'gooseneck'
'구스 다운', 'goose down'
'구스 다운 매키노', 'goose down mackinaw'
'구스베리', 'gooseberry'
'구아 검', 'guar gum'
'구아네티딘', 'guanethidine'
'구아노', 'guano'
'구아노신', 'guanosine'
'구아니딘', 'guanidine'
'구아닌', 'guanine'
'구아닌 사이클레이즈', 'guanine cyclase'
'구아닐레이트 사이클레이즈', 'guanylate cyclase'
'구아닐릴 사이클레이즈', 'guanylyl cyclase'
'구아라나', 'guarana'
'구아르 껌', 'guar gum'
'구아버', 'guava'
'구아세티살', 'guacetisal'
'구아야줄렌', 'guaiazulene'
'구아야콜', 'guaiacol'
'구아율', 'guayule'
'구아이아놀리드', 'guaianolide'
'구아이페네신', 'guaifenesin'
'구아자틴', 'guazatine'
'구안파신', 'guanfacine'
'구이덕', 'geoduck'
'구타 페르카', 'gutta percha'
'구타 페르카 볼', 'gutta percha ball'
'구타 페르카 케이블', 'gutta percha cable'
'구트라', 'ghutra'
'구티온', 'guthion'
'구피', 'guppy'
'굴라시', 'goulash'
'굴랍 자문', 'gulab jamun'
'굴로노락톤', 'gulonolactone'
'굴로스', 'gulose'
'굴로오스', 'gulose'
'굿', 'good'
'굿 거버넌스', 'good governance'
'굿 나이트', 'good night'
'굿 나잇', 'good night'
'굿 디자인', 'good design'
'굿 디자인 마크', 'good design mark'
'굿 리퍼', 'good leaper'
'굿 모닝 하트에이크', 'Good Morning Heartache'
'굿 뱅크', 'good bank'
'굿 샷', 'good shot'
'굿 플레잉 타임', 'good playing time'
'굿 피팅 진', 'good fitting jeans'
'굿바이 홈런', 'goodbye homerun'
'굿바이 히트', 'goodbye hit'
